Service_Provider_Type,Company_Name,Country,Full_Name,ID,Original_Category,Search_Friendly_Type
Promoters Marketers,Algebris Investments (Cayman) Ltd (KY ),KY,Algebris Investments (Cayman) Ltd (KY ),20600,Promid,Promoters_Marketers
Promoters Marketers,"Alger Management, Ltd. (GB )",GB,"Alger Management, Ltd. (GB )",74339,Promid,Promoters_Marketers
Promoters Marketers,Alicanto Capital S.G.R. S. p.A. (IT ),IT,Alicanto Capital S.G.R. S. p.A. (IT ),91934,Promid,Promoters_Marketers
Promoters Marketers,Alienor Capital (FR ),FR,Alienor Capital (FR ),71799,Promid,Promoters_Marketers
Promoters Marketers,Allfunds Bank S.A.U. (ES ),ES,Allfunds Bank S.A.U. (ES ),3130,Promid,Promoters_Marketers
Promoters Marketers,AllianceBernstein (Luxembourg) Sàrl (LU ),LU,AllianceBernstein (Luxembourg) Sàrl (LU ),4238,Promid,Promoters_Marketers
Promoters Marketers,AllianceBernstein L.P. (US ),US,AllianceBernstein L.P. (US ),2671,Promid,Promoters_Marketers
Promoters Marketers,AllianceBernstein Limited (GB ),GB,AllianceBernstein Limited (GB ),10294,Promid,Promoters_Marketers
Promoters Marketers,Allianz (DE ),DE,Allianz (DE ),1610,Promid,Promoters_Marketers
Promoters Marketers,Allianz Capital Partners GmbH Lux Br (LU ),LU,Allianz Capital Partners GmbH Lux Br (LU ),101004,Promid,Promoters_Marketers
Promoters Marketers,Allianz Global Investors GmbH (DE ),DE,Allianz Global Investors GmbH (DE ),10768,Promid,Promoters_Marketers
Promoters Marketers,Allianz Global Investors GmbH IT (IT ),IT,Allianz Global Investors GmbH IT (IT ),88507,Promid,Promoters_Marketers
Promoters Marketers,Allianz Global Investors GmbH Lux. B (LU ),LU,Allianz Global Investors GmbH Lux. B (LU ),72367,Promid,Promoters_Marketers
Promoters Marketers,Allianz Global Investors GmbH UK (GB ),GB,Allianz Global Investors GmbH UK (GB ),14353,Promid,Promoters_Marketers
Promoters Marketers,Allianz Global Investors Italia SGR (IT ),IT,Allianz Global Investors Italia SGR (IT ),13030,Promid,Promoters_Marketers
Promoters Marketers,Allianz Invest K. mbH (AT ),AT,Allianz Invest K. mbH (AT ),71837,Promid,Promoters_Marketers
Promoters Marketers,Allianz Investment Management SE (DE ),DE,Allianz Investment Management SE (DE ),91677,Promid,Promoters_Marketers
Promoters Marketers,Allied Investment Partners PJSC (AE ),AE,Allied Investment Partners PJSC (AE ),101375,Promid,Promoters_Marketers
Promoters Marketers,Allspring Global Investments Lux SA (LU ),LU,Allspring Global Investments Lux SA (LU ),72895,Promid,Promoters_Marketers
Promoters Marketers,Alm. Brand Invest (DK ),DK,Alm. Brand Invest (DK ),15888,Promid,Promoters_Marketers
Promoters Marketers,Alma Capital Investment Management (LU ),LU,Alma Capital Investment Management (LU ),68370,Promid,Promoters_Marketers
Promoters Marketers,Almal Invest International Inc (BZ ),BZ,Almal Invest International Inc (BZ ),19081,Promid,Promoters_Marketers
Promoters Marketers,Alpcot Capital Management Ltd (GB ),GB,Alpcot Capital Management Ltd (GB ),19970,Promid,Promoters_Marketers
Promoters Marketers,Alpes Holdings Limited (GI ),GI,Alpes Holdings Limited (GI ),20616,Promid,Promoters_Marketers
Promoters Marketers,Alpha Bank A. E. (GR ),GR,Alpha Bank A. E. (GR ),20782,Promid,Promoters_Marketers
