ID,Company_Name,Service_Type,Country,Search_Value,Original_Category
84246,State Street Bank International GmbH (DE),Custodians,DE,84246,Bqedepid
3861,State Street Bank International GmbH (FR),Custodians,FR,3861,Bqedepid
19013,State Street Bank International GmbH (IT),Custodians,IT,19013,Bqedepid
102836,"State Street Bank Intl GmbH, Amst br (NL)",Custodians,NL,102836,Bqedepid
17390,"State Street Bank Intl GmbH, Lux Br. (LU)",Custodians,LU,17390,Bqedepid
10003,State Street Custodial Services Ltd (IE),Custodians,IE,10003,Bqedepid
100437,State Street Custody Services (GG),Custodians,GG,100437,Bqedepid
70852,State Street Int GmbH Zurich Br. (CH),Custodians,CH,70852,Bqedepid
4878,State Street Trustees Limited (GB),Custodians,GB,4878,Bqedepid
12454,Südwestbank AG (DE),Custodians,DE,12454,Bqedepid
10290,Svenska Handelsbanken AB (publ) (SE),Custodians,SE,10290,Bqedepid
22712,Swedbank AB (Publ) Luxembourg Branch (LU),Custodians,LU,22712,Bqedepid
17494,Swedbank AS (EE),Custodians,EE,17494,Bqedepid
17796,Swiss Life Banque Privée (FR),Custodians,FR,17796,Bqedepid
72565,SwissLife Banque Privée (FR),Custodians,FR,72565,Bqedepid
14912,Swissquote Bank (CH),Custodians,CH,14912,Bqedepid
84345,Swissquote Financial Services (MT),Custodians,MT,84345,Bqedepid
14454,Sydbank A/S (DK),Custodians,DK,14454,Bqedepid
70948,"The Bank of New York M, Dublin Br (IE)",Custodians,IE,70948,Bqedepid
80201,The Bank of New York Mellon SA (NL),Custodians,NL,80201,Bqedepid
72078,The Bank of New York Mellon SA/NV (DE),Custodians,DE,72078,Bqedepid
87524,The Bank of New York Mellon SA/NV (GB),Custodians,GB,87524,Bqedepid
5637,The Bank of New York Mellon SA/NV LU (LU),Custodians,LU,5637,Bqedepid
87957,The Law Debenture Trust Corp. plc (JE),Custodians,JE,87957,Bqedepid
3145,Theodoor Gilissen Bankiers N.V. (NL),Custodians,NL,3145,Bqedepid
100887,U.S. Bank Europe DAC Luxembourg br (LU),Custodians,LU,100887,Bqedepid
1592,UBS (Luxembourg) S.A. (LU),Custodians,LU,1592,Bqedepid
5417,UBS Europe SE (DE),Custodians,DE,5417,Bqedepid
83675,UBS Europe SE Luxembourg Branch (LU),Custodians,LU,83675,Bqedepid
75356,UBS Switzerland AG (CH),Custodians,CH,75356,Bqedepid
2741,UniCredit Bank Austria AG (AT),Custodians,AT,2741,Bqedepid
2065,Union Bancaire Privée (Europe) S.A (LU),Custodians,LU,2065,Bqedepid
44536,Universal-Investment-Gesellschaft (DE),Custodians,DE,44536,Bqedepid
72057,Valartis Bank (Austria) AG (AT),Custodians,AT,72057,Bqedepid
70483,Volksbank eG (DE),Custodians,DE,70483,Bqedepid
2996,Vorarlberger Landes & Hypotheken. AG (AT),Custodians,AT,2996,Bqedepid
1566,VP Bank (Luxembourg) SA (LU),Custodians,LU,1566,Bqedepid
11043,VP Bank AG (LI),Custodians,LI,11043,Bqedepid
3093,Wüstenrot Bank AG Pfandbriefbank (DE),Custodians,DE,3093,Bqedepid
91834,Zarattini International Ltd. (MT),Custodians,MT,91834,Bqedepid
21917,Zürcher Kantonalbank (CH),Custodians,CH,21917,Bqedepid
