Category,Value,Text
Promid,70749,Ampega Investment GmbH (DE )
Promid,72080,Amplegest (FR )
Promid,88098,Amundi Asset Management S.A.I. S.A. (RO )
Promid,2459,Amundi Asset Management S.A.S (FR )
Promid,72014,Amundi Austria GmbH (AT )
Promid,4617,Amundi Deutschland GmbH (DE )
Promid,5965,"Amundi Iberia SGIIC, SA (ES )"
Promid,2944,Amundi Luxembourg S.A. (LU )
Promid,22186,Amundi S.A. (FR )
Promid,6283,Amundi SGR S.p.A. (IT )
Promid,72432,Anaxis Asset Management S.A.S. (FR )
Promid,17659,AndBank Asset Management Luxembourg (LU )
Promid,18626,Andbank Luxembourg S.A. (LU )
Promid,71333,ANF Luxembourg S.A. (LU )
Promid,72412,Angola Growth Management S.A. (LU )
Promid,71331,ansa capital Management GmbH (DE )
Promid,83818,Anstalt Fürst Liechtenstein (LI )
Promid,11658,Antaurus Capital Management B.V (NL )
Promid,72136,Antecedo Asset Management GmbH (DE )
Promid,71347,Antin Infrastructure Partners (GB )
Promid,73002,APAC CREF Luxembourg General Partner (LU )
Promid,114488,Aphilion IM (BE )
Promid,83286,Apis Asset Management (LU )
Promid,10465,APO Asset Management GmbH (DE )
Promid,115076,Apollo Management International LLP (GB )
Promid,75772,APPIA General Partner Sàrl (LU )
Promid,87036,APS Asset Mgt Advisory Limited (VG )
Promid,87465,Apus Capital GmbH (DE )
Promid,3553,AQ Mgt GmbH (DE )
Promid,81464,AQA Capital Ltd (MT )
Promid,19945,AQR Capital Management LLC (US )
Promid,88022,Aquasourca S.A. (LU )
Promid,93361,Aquila Asset Management AG (CH )
Promid,85332,Aquila Capital Investmentgesell (DE )
Promid,105073,"Aquila Capital Ivt. mbH, Br. Lux (LU )"
Promid,72380,Arab Bank (Switzerland) Ltd (CH )
Promid,72374,Arabesque Asset Management Ltd (GB )
Promid,16766,Aramea Asset Management AG_ (DE )
Promid,101305,Aravis Capital Limited (GB )
Promid,19256,Arborescence Capital (FR )
Promid,83487,ARCA Fondi SGR S.p.A. (IT )
Promid,72058,Archeide Lux Sàrl (LU )
Promid,20987,Architas Multi-Manager Limited (GB )
Promid,87951,Archmore GP Sarl (LU )
Promid,88393,Arctic Fund Management AS (NO )
Promid,3669,Arcus Investment Limited (GB )
Promid,57390,Arden Asset Management LLC (US )
Promid,21293,ARDIAN France S.A. (FR )
Promid,91998,Ardian Real Estate II GP S.à r.l. (LU )
Promid,4492,Arendt & Medernach S.A. (LU )
Promid,110037,Arev Partners (FR )
Promid,1625,Argenta Banque d’Epargne S.A. (BE )
Promid,72192,ARGENTUM Asset Management GmbH (DE )
Promid,20379,Argonaut Capital Partners LLP (GB )
Promid,88491,ARIA Limited (GB )
Promid,11966,Aria Structured Investments S.à r.l. (LU )
Promid,20454,Aries Investment Management S.A. (LU )
Promid,19288,Arion Bank hf (IS )
Promid,78395,Arrows Capital AG (CH )
Promid,10584,Artemis Investment Management LLP (GB )
Promid,83683,Ärtzteversorgung Land Brandenburg (DE )
Promid,17821,Ärztekammer (AT )
Promid,14273,Ärztekammer Westfalen-Lippe (DE )
Promid,14274,Ärzteversorgung Brandenburg (DE )
Promid,16904,AS Avaron Asset Management (EE )
Promid,83688,AS BaltCap PLC (EE )
Promid,88230,AS Trigon Asset Management (EE )
Promid,17116,Asesores y Gestores Financieros S.A. (ES )
Promid,17115,Asesores Y Gestores Private Equity (ES )
Promid,13377,Ashburton (Jersey) Limited (JE )
Promid,97700,Ashmore IM (Ireland) Limited (IE )
Promid,2778,Ashmore Investment Management Ltd (GB )
